zero_n_expansions,coupling_n_expansions,cohesion_n_expansions,AddCouplingCohesion_n_expansions,MaxCouplingCohesion_n_expansions
114,115,115,115,115
11,11,11,11,11
214,223,232,232,232
222,229,235,235,235
210,228,244,244,244
240,262,287,287,287
23,29,38,38,38
161,163,165,165,165
222,237,253,253,253
447,451,453,453,453
206,207,209,209,209
200,209,218,218,218
327,345,361,361,361
186,193,199,199,199
28,29,34,34,34
252,257,261,261,261
278,289,298,298,298
276,283,289,289,289
113,124,136,136,136
228,247,267,267,267
209,215,224,224,224
151,153,154,154,154
200,203,205,205,205
15,15,15,15,15
198,205,211,211,211
424,433,442,442,442
173,175,177,177,177
31,34,40,40,40
280,286,295,295,295
163,167,171,171,171
252,257,261,261,261
70,73,75,75,75
158,167,176,176,176
418,425,434,434,434
172,181,190,190,190
10,10,10,10,10
202,207,211,211,211
259,262,266,266,266
152,165,181,181,181
122,137,149,149,149
65,65,65,65,65
114,115,117,117,117
110,111,111,111,111
209,219,228,228,228
255,262,268,268,268
146,147,149,149,149
236,239,241,241,241
175,177,178,178,178
356,374,394,394,394
280,286,295,295,295
249,252,256,256,256
124,125,125,125,125
16,17,24,24,24
66,66,66,66,66
34,40,49,49,49
180,187,193,193,193
176,179,181,181,181
226,251,276,276,276
362,372,381,381,381
86,87,87,87,87
124,133,139,139,139
65,65,65,65,65
190,197,203,203,203
79,93,109,109,109
43,44,44,44,44
175,192,208,208,208
322,328,337,337,337
170,176,182,182,182
291,309,325,325,325
247,264,280,280,280
351,355,357,357,357
64,69,75,75,75
272,282,291,291,291
157,159,160,160,160
36,37,39,39,39
92,95,97,97,97
123,137,149,149,149
260,271,280,280,280
133,139,148,148,148
212,231,247,247,247
139,161,181,181,181
479,489,498,498,498
651,655,657,657,657
270,279,288,288,288
40,41,44,44,44
339,345,354,354,354
202,207,211,211,211
138,143,149,149,149
166,167,168,168,168
206,207,209,209,209
268,272,276,276,276
416,426,435,435,435
40,53,65,65,65
330,355,375,375,375
380,390,399,399,399
103,120,136,136,136
76,85,91,91,91
19,19,19,19,19
246,253,259,259,259
20,21,23,23,23
