1_n_expansions,5_n_expansions,10_n_expansions,25_n_expansions,50_n_expansions,100_n_expansions
18,18,18,18,18,18
323,106,94,94,94,94
265,71,70,70,70,70
59,59,59,59,59,59
38,32,31,31,31,31
241,65,63,63,63,63
92,47,47,47,47,47
38,20,20,20,20,20
151,81,78,76,76,76
66,34,34,34,34,34
53,52,52,52,52,52
117,111,110,110,110,110
19,19,19,19,19,19
41,41,41,41,41,41
231,67,63,63,63,63
25,23,23,23,23,23
198,65,63,63,63,63
419,141,128,123,123,123
43,43,43,43,43,43
210,66,60,60,60,60
55,55,55,55,55,55
32,16,16,16,16,16
65,65,65,65,65,65
339,108,98,95,95,95
196,78,74,71,71,71
101,100,100,100,100,100
88,77,75,75,75,75
299,142,128,123,123,123
28,28,28,28,28,28
286,90,82,80,80,80
27,27,27,27,27,27
21,21,21,21,21,21
20,20,20,20,20,20
52,52,52,52,52,52
46,46,46,46,46,46
241,65,63,63,63,63
54,54,54,54,54,54
83,52,45,44,44,44
28,15,15,15,15,15
269,76,72,72,72,72
52,44,42,42,42,42
67,67,67,67,67,67
146,125,120,118,118,118
46,46,46,46,46,46
37,37,37,37,37,37
21,21,21,21,21,21
218,124,109,104,104,104
195,57,55,55,55,55
117,67,66,66,66,66
120,69,67,67,67,67
34,34,34,34,34,34
58,58,58,58,58,58
40,40,40,40,40,40
52,52,52,52,52,52
304,119,104,99,99,99
122,88,80,77,77,77
43,43,43,43,43,43
28,28,28,28,28,28
21,21,21,21,21,21
295,140,127,123,123,123
211,62,60,60,60,60
190,106,91,89,89,89
30,16,16,16,16,16
75,75,75,75,75,75
345,279,250,233,228,228
16,16,16,16,16,16
269,73,71,71,71,71
28,15,15,15,15,15
263,128,113,108,108,108
111,72,70,69,69,69
218,124,109,104,104,104
55,55,55,55,55,55
394,197,170,159,158,158
12,7,7,7,7,7
117,67,66,66,66,66
32,32,32,32,32,32
29,29,29,29,29,29
116,82,75,69,69,69
75,28,28,28,28,28
30,30,30,30,30,30
216,62,61,61,61,61
47,47,47,47,47,47
37,37,37,37,37,37
15,15,15,15,15,15
24,24,24,24,24,24
107,35,34,34,34,34
29,29,29,29,29,29
248,108,102,99,99,99
127,94,86,85,85,85
471,220,196,186,185,185
47,47,47,47,47,47
272,151,134,129,129,129
31,31,31,31,31,31
44,20,19,19,19,19
168,71,69,69,69,69
48,25,25,25,25,25
24,24,24,24,24,24
61,61,61,61,61,61
71,26,25,25,25,25
479,479,478,475,475,475
